Age,Gender,Weight_kg,Height_m,Goal,Breakfast_Meal,Breakfast_Calories,Breakfast_Protein_g,Breakfast_Carbs_g,Breakfast_Fats_g,Lunch_Meal,Lunch_Calories,Lunch_Protein_g,Lunch_Carbs_g,Lunch_Fats_g,Dinner_Meal,Dinner_Calories,Dinner_Protein_g,Dinner_Carbs_g,Dinner_Fats_g,Snacks_Meal,Snacks_Calories,Snacks_Protein_g,Snacks_Carbs_g,Snacks_Fats_g,Total_Calories,Total_Protein_g,Total_Carbs_g,Total_Fats_g
8,Male,49.5,1.09,Muscle Gain,Oatmeal,336.42,9.46,47.78,5.3,Jollof_Rice_with_Chicken,686.0,63.0,81.0,21.0,Banku_with_Okra_Soup,660.0,48.0,68.0,11.0,Kofi_Brokeman_(Roasted_Plantain_with_Groundnut),251.0,9.0,39.0,10.0,1933.42,129.46,235.78,47.3
16,Male,48.4,1.32,Weight Loss,Oatmeal,242.0,13.0,36.0,4.0,Fufu_with_Light_Soup_with_Goat_Meat,510.0,41.0,74.0,10.0,Banku_and_Tilapia_with_Hot_Pepper,553.0,50.0,54.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1612.38,109.91,200.59,36.85
64,Male,78.2,1.7,Muscle Gain,Tom_Brown_and_bread,328.0,13.0,55.0,5.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,546.0,43.0,65.0,14.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,611.0,34.0,67.0,19.0,Atsoomo_(Chin-Chin),369.0,4.0,33.0,17.0,1854.0,94.0,220.0,55.0
43,Male,60.4,1.64,Weight Loss,White_porridge_and_bread,386.0,6.0,45.0,4.0,Banku_and_Tilapia_with_Hot_Pepper,567.0,36.0,55.0,12.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,615.79,38.98,64.77,13.31,Kofi_Brokeman_(Roasted_Plantain_with_Groundnut),254.0,6.0,37.0,8.0,1822.79,86.98,201.77,37.31
11,Female,40.3,1.19,Weight Loss,Hausa_Koko_(millet_porridge)_with_Koose,305.0,14.0,45.0,5.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,451.0,28.0,61.0,14.0,Banku_with_Okra_Soup,536.0,37.0,76.0,10.0,Kofi_Brokeman_(Roasted_Plantain_with_Groundnut),200.0,7.0,38.0,7.0,1492.0,86.0,220.0,36.0
60,Male,85.1,1.67,Muscle Gain,Tea/Milo/Coffee_with_bread,316.0,7.0,36.0,8.0,Tuo_Zaafi_with_Meat_Stew,661.0,39.0,83.0,14.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,683.0,32.0,51.0,20.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1967.38,83.91,206.59,52.85
39,Female,55.6,1.65,Weight Loss,Tom_Brown_and_bread,380.0,9.0,53.0,4.0,Banku_and_Tilapia_with_Hot_Pepper,524.0,35.0,50.0,12.0,Jollof_Rice_with_Chicken,739.0,42.0,80.0,15.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1950.38,91.91,219.59,41.85
10,Female,40.9,1.1,Weight Loss,Hausa_Koko_(millet_porridge)_with_Koose,274.0,13.0,35.0,6.0,Banku_and_Tilapia_with_Hot_Pepper,452.0,38.0,57.0,13.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,615.79,38.98,64.77,13.31,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1649.17,95.89,193.36,43.16
15,Female,50.8,1.23,Muscle Gain,Tom_Brown_and_bread,293.0,12.0,67.0,5.0,Tuo_Zaafi_with_Meat_Stew,595.0,46.0,85.0,12.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,545.0,33.0,51.0,24.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1740.38,96.91,239.59,51.85
48,Female,58.0,1.54,Weight Loss,Tom_Brown_and_bread,382.0,9.0,58.0,4.0,Banku_with_Okra_Soup,551.0,28.0,74.0,9.0,Boiled_Plantain/Yam_and_Garden_egg_stew,464.0,19.0,49.0,7.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1704.38,61.91,217.59,30.85
82,Female,56.3,1.55,Weight Loss,Tea/Milo/Coffee_with_bread,261.0,5.0,39.0,4.0,Banku_with_Okra_Soup,466.0,32.0,71.0,6.0,Fufu_with_Light_Soup_with_Goat_Meat,652.0,33.0,77.0,9.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1686.38,75.91,223.59,29.85
52,Male,60.8,1.71,Weight Loss,Oatmeal,326.0,12.0,41.0,4.0,Boiled_Plantain/Yam_and_Garden_egg_stew,603.0,22.0,64.0,8.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,635.0,24.0,45.0,17.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1871.38,63.91,186.59,39.85
44,Male,68.3,1.77,Muscle Gain,Hausa_Koko_(millet_porridge)_with_Koose,379.0,14.0,50.0,7.0,Tuo_Zaafi_with_Meat_Stew,836.0,37.0,70.0,13.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,722.0,50.0,65.0,18.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2244.38,106.91,221.59,48.85
40,Female,75.7,1.57,Muscle Gain,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),382.0,12.0,55.0,8.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,534.0,28.0,63.0,22.0,Red-Red_(Beans_and_Plantain_with_red_oil),614.0,28.0,46.0,18.0,Plantain_Chips,320.0,3.0,48.0,13.0,1850.0,71.0,212.0,61.0
59,Male,67.1,1.74,Weight Loss,Rice_water_and_bread,320.0,9.0,45.0,3.0,Waakye_and_Fish_with_egg,778.0,50.0,72.0,8.0,Plain_Rice_with_Chicken,691.0,41.0,66.0,13.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2096.38,105.91,219.59,34.85
58,Male,70.7,1.64,Weight Loss,White_porridge_and_bread,369.0,7.0,44.0,4.0,Red-Red_(Beans_and_Plantain_with_red_oil),572.0,28.0,46.0,14.0,Banku_with_Okra_Soup,602.0,33.0,57.0,9.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1850.38,73.91,183.59,37.85
24,Male,63.9,1.72,Weight Loss,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),468.0,8.0,52.0,7.0,Boiled_Plantain/Yam_and_Garden_egg_stew,574.0,18.0,49.0,8.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,615.79,38.98,64.77,13.31,Plantain_Chips,276.0,3.0,35.0,10.0,1933.79,67.98,200.77,38.31
73,Female,66.7,1.59,Muscle Gain,Rice_water_and_bread,302.0,9.0,55.0,4.0,Banku_and_Tilapia_with_Hot_Pepper,537.0,44.0,56.0,12.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,545.0,32.0,67.0,18.0,Atsoomo_(Chin-Chin),383.0,4.0,31.0,17.0,1767.0,89.0,209.0,51.0
60,Female,78.6,1.52,Muscle Gain,Rice_water_and_bread,335.0,7.0,58.0,5.0,Red-Red_(Beans_and_Plantain_with_red_oil),531.0,32.0,56.0,19.0,Boiled_Plantain/Yam_and_Garden_egg_stew,495.0,25.0,59.0,9.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1668.38,69.91,209.59,43.85
15,Male,43.0,1.31,Weight Loss,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),303.0,13.0,49.0,7.0,Boiled_Plantain/Yam_and_Garden_egg_stew,484.0,24.0,63.0,7.0,Waakye_and_Fish_with_egg,607.0,59.0,69.0,8.0,Roasted/Boiled_Maize_with_Coconut,204.0,7.0,31.0,5.0,1598.0,103.0,212.0,27.0
63,Male,63.5,1.71,Weight Loss,Oatmeal,237.0,9.0,37.0,2.0,Waakye_and_Fish_with_egg,673.0,49.0,68.0,8.0,Boiled_Plantain/Yam_and_Garden_egg_stew,437.0,19.0,51.0,6.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1654.38,82.91,192.59,26.85
53,Female,65.7,1.63,Muscle Gain,Oatmeal,295.0,9.0,41.0,5.0,Banku_with_Okra_Soup,723.0,39.0,86.0,13.0,Plain_Rice_with_Chicken,712.0,54.0,73.0,15.0,Plantain_Chips,333.0,3.0,40.0,10.0,2063.0,105.0,240.0,43.0
67,Male,61.2,1.66,Weight Loss,Oatmeal,336.42,9.46,47.78,5.3,Tuo_Zaafi_with_Meat_Stew,643.0,30.0,59.0,9.0,Jollof_Rice_with_Chicken,667.0,49.0,81.0,13.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1953.8,94.37,224.37,38.15
17,Male,48.2,1.34,Weight Loss,Tea/Milo/Coffee_with_bread,237.0,6.0,34.0,6.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,425.0,27.0,55.0,18.0,Red-Red_(Beans_and_Plantain_with_red_oil),418.0,30.0,45.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1387.38,68.91,170.59,46.85
6,Male,39.4,1.0,Muscle Gain,Oatmeal,336.42,9.46,47.78,5.3,Waakye_and_Fish_with_egg,687.0,56.0,67.0,13.0,Fufu_with_Light_Soup_with_Goat_Meat,618.0,52.0,86.0,15.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1948.8,123.37,237.37,44.15
22,Male,64.5,1.61,Weight Loss,White_porridge_and_bread,392.0,7.0,54.0,4.0,Jollof_Rice_with_Chicken,864.0,41.0,72.0,15.0,Red-Red_(Beans_and_Plantain_with_red_oil),586.0,29.0,45.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2149.38,82.91,207.59,41.85
6,Female,38.3,1.0,Muscle Gain,Oatmeal,336.42,9.46,47.78,5.3,Kenkey_and_Fried_Fish_with_Hot_Pepper,568.0,40.0,65.0,22.0,Banku_with_Okra_Soup,561.0,37.0,81.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1772.8,92.37,230.37,50.15
37,Female,70.8,1.66,Muscle Gain,Tom_Brown_and_bread,367.0,10.0,64.0,5.0,Waakye_and_Fish_with_egg,683.0,55.0,59.0,12.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,639.0,26.0,53.0,21.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1996.38,96.91,212.59,48.85
8,Male,41.3,1.07,Weight Loss,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),376.0,13.0,56.0,8.0,Banku_with_Okra_Soup,562.0,39.0,69.0,9.0,Boiled_Plantain/Yam_and_Garden_egg_stew,378.0,28.0,49.0,8.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1623.38,85.91,210.59,35.85
13,Male,41.9,1.23,Weight Loss,White_porridge_and_bread,259.0,8.0,41.0,4.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,528.0,36.0,56.0,18.0,Banku_with_Okra_Soup,520.0,41.0,74.0,10.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1614.38,90.91,207.59,42.85
39,Male,83.4,1.75,Muscle Gain,Oatmeal,356.0,13.0,46.0,5.0,Banku_with_Okra_Soup,777.0,33.0,78.0,10.0,Tuo_Zaafi_with_Meat_Stew,734.0,39.0,75.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2174.38,90.91,235.59,37.85
32,Male,70.5,1.81,Muscle Gain,Oatmeal,377.0,13.0,41.0,5.0,Jollof_Rice_with_Chicken,619.2,39.43,64.97,13.31,Fufu_with_Light_Soup_with_Goat_Meat,752.0,48.0,76.0,14.0,Roasted/Boiled_Maize_with_Coconut,295.0,7.0,40.0,8.0,2043.2,107.43,221.97,40.31
74,Male,58.8,1.62,Weight Loss,Oatmeal,247.0,9.0,45.0,3.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,614.0,38.0,52.0,13.0,Banku_with_Okra_Soup,572.0,31.0,74.0,6.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1740.38,83.91,207.59,32.85
33,Female,64.0,1.52,Weight Loss,Rice_water_and_bread,321.0,6.0,51.0,4.0,Plain_Rice_with_Chicken,556.0,39.0,69.0,14.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,511.0,37.0,55.0,16.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1695.38,87.91,211.59,44.85
80,Male,72.4,1.6,Muscle Gain,White_porridge_and_bread,343.0,9.0,58.0,4.0,Jollof_Rice_with_Chicken,707.0,45.0,96.0,16.0,Boiled_Plantain/Yam_and_Garden_egg_stew,486.0,26.0,56.0,9.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1843.38,85.91,246.59,39.85
58,Male,80.9,1.68,Muscle Gain,Hausa_Koko_(millet_porridge)_with_Koose,468.0,16.0,46.0,8.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,694.0,31.0,53.0,20.0,Boiled_Plantain/Yam_and_Garden_egg_stew,662.0,28.0,56.0,10.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2131.38,80.91,191.59,48.85
5,Female,32.9,1.0,Muscle Gain,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),392.0,10.0,61.0,8.0,Boiled_Plantain/Yam_and_Garden_egg_stew,367.0,28.0,71.0,11.0,Banku_and_Tilapia_with_Hot_Pepper,523.0,51.0,63.0,15.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1589.38,94.91,231.59,44.85
21,Male,75.8,1.69,Muscle Gain,Rice_water_and_bread,333.0,8.0,61.0,5.0,Banku_and_Tilapia_with_Hot_Pepper,731.0,46.0,59.0,16.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,615.79,38.98,64.77,13.31,Plantain_Chips,370.0,3.0,40.0,13.0,2049.79,95.98,224.77,47.31
32,Female,77.1,1.58,Muscle Gain,Tea/Milo/Coffee_with_bread,347.0,7.0,44.0,7.0,Jollof_Rice_with_Chicken,805.0,43.0,80.0,19.0,Banku_with_Okra_Soup,662.0,33.0,77.0,12.0,Plantain_Chips,290.0,3.0,45.0,13.0,2104.0,86.0,246.0,51.0
52,Female,55.2,1.62,Weight Loss,Rice_water_and_bread,309.0,8.0,50.0,4.0,Jollof_Rice_with_Chicken,619.2,39.43,64.97,13.31,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,582.0,26.0,61.0,15.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1817.58,79.34,212.56,43.16
65,Male,64.3,1.66,Weight Loss,Oatmeal,336.42,9.46,47.78,5.3,Waakye_and_Fish_with_egg,531.0,39.0,56.0,8.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,488.0,26.0,45.0,13.0,Agbelikaklo_with_Coconut,336.0,5.0,41.0,4.0,1691.42,79.46,189.78,30.3
51,Male,67.4,1.71,Weight Loss,Oatmeal,336.42,9.46,47.78,5.3,Kenkey_and_Fried_Fish_with_Hot_Pepper,676.0,38.0,61.0,16.0,Red-Red_(Beans_and_Plantain_with_red_oil),530.0,26.0,54.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1849.8,79.37,199.37,44.15
74,Female,56.8,1.55,Weight Loss,Oatmeal,336.42,9.46,47.78,5.3,Jollof_Rice_with_Chicken,605.0,38.0,86.0,13.0,Banku_with_Okra_Soup,516.0,26.0,69.0,8.0,Plantain_Chips,277.0,3.0,45.0,7.0,1734.42,76.46,247.78,33.3
53,Male,71.1,1.76,Weight Loss,Hausa_Koko_(millet_porridge)_with_Koose,441.0,12.0,43.0,6.0,Jollof_Rice_with_Chicken,707.0,47.0,86.0,17.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,545.0,30.0,57.0,15.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2000.38,94.91,222.59,48.85
17,Male,49.5,1.37,Weight Loss,Tea/Milo/Coffee_with_bread,211.0,6.0,35.0,6.0,Jollof_Rice_with_Chicken,619.2,39.43,64.97,13.31,Tuo_Zaafi_with_Meat_Stew,532.0,46.0,56.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1669.58,97.34,192.56,42.16
45,Male,57.7,1.71,Weight Loss,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),488.0,8.0,60.0,7.0,Banku_with_Okra_Soup,748.0,30.0,65.0,9.0,Banku_and_Tilapia_with_Hot_Pepper,673.0,40.0,50.0,12.0,Plantain_Chips,319.0,3.0,36.0,9.0,2228.0,81.0,211.0,37.0
49,Male,65.8,1.72,Weight Loss,Oatmeal,336.42,9.46,47.78,5.3,Jollof_Rice_with_Chicken,619.2,39.43,64.97,13.31,Jollof_Rice_with_Chicken,872.0,39.0,70.0,13.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2135.0,93.8,219.34,42.46
35,Female,59.1,1.59,Weight Loss,White_porridge_and_bread,361.0,7.0,50.0,4.0,Banku_and_Tilapia_with_Hot_Pepper,625.0,40.0,54.0,12.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,615.79,38.98,64.77,13.31,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1909.17,91.89,205.36,40.16
11,Male,48.5,1.26,Weight Loss,Tea/Milo/Coffee_with_bread,264.0,6.0,40.0,6.0,Jollof_Rice_with_Chicken,619.2,39.43,64.97,13.31,Jollof_Rice_with_Chicken,649.0,47.0,67.0,15.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1839.58,98.34,208.56,45.16
6,Male,35.4,1.0,Weight Loss,White_porridge_and_bread,309.0,7.0,54.0,4.0,Jollof_Rice_with_Chicken,619.2,39.43,64.97,13.31,Jollof_Rice_with_Chicken,553.0,57.0,75.0,16.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1788.58,109.34,230.56,44.16
15,Female,49.1,1.22,Muscle Gain,Rice_water_and_bread,237.0,10.0,51.0,4.0,Fufu_with_Light_Soup_with_Goat_Meat,530.0,51.0,87.0,13.0,Boiled_Plantain/Yam_and_Garden_egg_stew,441.0,25.0,69.0,10.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1515.38,91.91,243.59,37.85
25,Male,81.5,1.75,Muscle Gain,Hausa_Koko_(millet_porridge)_with_Koose,359.0,16.0,40.0,7.0,Red-Red_(Beans_and_Plantain_with_red_oil),621.0,33.0,56.0,18.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,615.79,38.98,64.77,13.31,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1903.17,93.89,197.36,49.16
35,Male,63.0,1.75,Weight Loss,Tom_Brown_and_bread,359.0,9.0,61.0,4.0,Jollof_Rice_with_Chicken,829.0,49.0,67.0,13.0,Red-Red_(Beans_and_Plantain_with_red_oil),475.0,26.0,45.0,14.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1970.38,89.91,209.59,41.85
46,Male,76.5,1.75,Muscle Gain,Tom_Brown_and_bread,409.0,10.0,52.0,5.0,Banku_and_Tilapia_with_Hot_Pepper,778.0,49.0,55.0,16.0,Jollof_Rice_with_Chicken,811.0,54.0,78.0,17.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2305.38,118.91,221.59,48.85
46,Female,64.8,1.63,Muscle Gain,Tom_Brown_and_bread,419.0,9.0,54.0,6.0,Banku_and_Tilapia_with_Hot_Pepper,617.0,42.0,62.0,14.0,Fufu_with_Light_Soup_with_Goat_Meat,811.0,43.0,74.0,16.0,Atsoomo_(Chin-Chin),429.0,3.0,40.0,22.0,2276.0,97.0,230.0,58.0
64,Male,77.4,1.72,Muscle Gain,Tea/Milo/Coffee_with_bread,304.0,7.0,41.0,6.0,Tuo_Zaafi_with_Meat_Stew,715.0,42.0,71.0,11.0,Jollof_Rice_with_Chicken,740.0,46.0,81.0,18.0,Roasted/Boiled_Maize_with_Coconut,291.0,6.0,35.0,6.0,2050.0,101.0,228.0,41.0
68,Male,63.5,1.68,Weight Loss,Hausa_Koko_(millet_porridge)_with_Koose,311.0,14.0,37.0,4.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,624.0,23.0,45.0,13.0,Banku_and_Tilapia_with_Hot_Pepper,511.0,36.0,54.0,8.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1753.38,78.91,172.59,35.85
62,Male,61.2,1.7,Weight Loss,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),431.0,11.0,57.0,6.0,Red-Red_(Beans_and_Plantain_with_red_oil),554.0,31.0,53.0,12.0,Waakye_and_Fish_with_egg,636.0,48.0,55.0,8.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1928.38,95.91,201.59,36.85
76,Male,70.6,1.63,Muscle Gain,Rice_water_and_bread,367.0,9.0,48.0,3.0,Waakye_and_Fish_with_egg,600.0,45.0,67.0,8.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,565.0,33.0,65.0,16.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1839.38,92.91,216.59,37.85
42,Male,82.0,1.76,Muscle Gain,Oatmeal,319.0,13.0,39.0,5.0,Red-Red_(Beans_and_Plantain_with_red_oil),530.0,39.0,61.0,20.0,Plain_Rice_with_Chicken,767.0,56.0,76.0,20.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1923.38,113.91,212.59,55.85
62,Male,77.5,1.7,Muscle Gain,Tom_Brown_and_bread,382.0,13.0,63.0,4.0,Banku_with_Okra_Soup,665.0,34.0,83.0,11.0,Waakye_and_Fish_with_egg,723.0,57.0,77.0,8.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2077.38,109.91,259.59,33.85
56,Female,57.0,1.55,Weight Loss,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),434.0,10.0,48.0,6.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,595.0,34.0,51.0,13.0,Banku_and_Tilapia_with_Hot_Pepper,661.0,43.0,51.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1997.38,92.91,186.59,41.85
8,Female,38.2,1.01,Weight Loss,Tea/Milo/Coffee_with_bread,253.0,7.0,33.0,4.0,Waakye_and_Fish_with_egg,484.0,56.0,54.0,10.0,Banku_and_Tilapia_with_Hot_Pepper,512.0,44.0,54.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1556.38,112.91,177.59,36.85
50,Male,71.5,1.67,Muscle Gain,Hausa_Koko_(millet_porridge)_with_Koose,448.0,13.0,42.0,9.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,660.0,40.0,60.0,20.0,Banku_with_Okra_Soup,778.0,39.0,79.0,11.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2193.38,97.91,217.59,50.85
57,Female,73.3,1.66,Muscle Gain,Tea/Milo/Coffee_with_bread,335.0,6.0,44.0,8.0,Plain_Rice_with_Chicken,653.0,57.0,80.0,18.0,Banku_with_Okra_Soup,597.0,33.0,69.0,10.0,Agbelikaklo_with_Coconut,324.0,6.0,47.0,11.0,1909.0,102.0,240.0,47.0
53,Female,63.6,1.63,Weight Loss,Tom_Brown_and_bread,307.0,9.0,53.0,4.0,Plain_Rice_with_Chicken,682.0,47.0,54.0,14.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,604.0,30.0,47.0,17.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1900.38,91.91,190.59,45.85
8,Female,34.2,1.0,Weight Loss,Oatmeal,192.0,12.0,43.0,3.0,Waakye_and_Fish_with_egg,428.0,43.0,58.0,8.0,Banku_and_Tilapia_with_Hot_Pepper,422.0,45.0,63.0,10.0,Roasted/Boiled_Maize_with_Coconut,217.0,6.0,37.0,5.0,1259.0,106.0,201.0,26.0
60,Female,60.0,1.54,Weight Loss,Oatmeal,336.42,9.46,47.78,5.3,Fufu_with_Light_Soup_with_Goat_Meat,631.0,31.0,61.0,12.0,Jollof_Rice_with_Chicken,681.0,43.0,68.0,13.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1955.8,89.37,213.37,41.15
21,Male,69.7,1.71,Muscle Gain,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),447.0,13.0,54.0,11.0,Jollof_Rice_with_Chicken,619.2,39.43,64.97,13.31,Red-Red_(Beans_and_Plantain_with_red_oil),514.0,34.0,62.0,16.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1887.58,92.34,217.56,51.16
40,Male,60.8,1.73,Weight Loss,White_porridge_and_bread,342.0,5.0,44.0,4.0,Fufu_with_Light_Soup_with_Goat_Meat,718.0,34.0,67.0,12.0,Tuo_Zaafi_with_Meat_Stew,746.0,34.0,77.0,9.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2113.38,78.91,224.59,35.85
81,Male,72.8,1.64,Muscle Gain,White_porridge_and_bread,335.0,8.0,49.0,5.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,653.0,31.0,51.0,21.0,Tuo_Zaafi_with_Meat_Stew,772.0,46.0,76.0,10.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2067.38,90.91,212.59,46.85
37,Female,74.7,1.56,Muscle Gain,Tea/Milo/Coffee_with_bread,339.0,7.0,40.0,8.0,Plain_Rice_with_Chicken,796.0,60.0,65.0,16.0,Tuo_Zaafi_with_Meat_Stew,729.0,32.0,84.0,11.0,Atsoomo_(Chin-Chin),374.0,3.0,30.0,21.0,2238.0,102.0,219.0,56.0
66,Female,72.5,1.58,Muscle Gain,Tea/Milo/Coffee_with_bread,262.0,7.0,36.0,5.0,Banku_and_Tilapia_with_Hot_Pepper,542.0,42.0,56.0,11.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,615.79,38.98,64.77,13.31,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1727.17,93.89,193.36,40.16
11,Female,41.7,1.16,Weight Loss,Tea/Milo/Coffee_with_bread,223.0,6.0,39.0,5.0,Jollof_Rice_with_Chicken,581.0,45.0,67.0,17.0,Fufu_with_Light_Soup_with_Goat_Meat,465.0,39.0,64.0,11.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1576.38,95.91,206.59,43.85
77,Female,69.7,1.58,Muscle Gain,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),451.0,12.0,68.0,8.0,Banku_and_Tilapia_with_Hot_Pepper,552.0,50.0,63.0,11.0,Tuo_Zaafi_with_Meat_Stew,544.0,43.0,73.0,10.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1854.38,110.91,240.59,39.85
19,Female,74.6,1.63,Muscle Gain,White_porridge_and_bread,382.0,7.0,55.0,6.0,Tuo_Zaafi_with_Meat_Stew,684.0,36.0,70.0,13.0,Plain_Rice_with_Chicken,687.0,50.0,60.0,16.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2060.38,98.91,221.59,45.85
26,Female,68.5,1.6,Muscle Gain,Oatmeal,301.0,13.0,44.0,5.0,Banku_and_Tilapia_with_Hot_Pepper,587.0,45.0,66.0,15.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,667.0,26.0,58.0,24.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1862.38,89.91,204.59,54.85
